number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.8023369640511921,2025-11-28 09:11:24.392491,2025-11-28 09:11:24.897557,0 days 00:00:00.505066,4.962398622141585,0.017484476618958876,12,125,COMPLETE
1,0.8019231509909523,2025-11-28 09:11:24.897594,2025-11-28 09:11:25.396276,0 days 00:00:00.498682,4.525978316102962,0.021990900122876505,9,170,COMPLETE
2,0.7984180919273046,2025-11-28 09:11:25.396312,2025-11-28 09:11:25.629080,0 days 00:00:00.232768,3.068560318923465,0.2178686772156606,7,131,COMPLETE
3,0.8010856887695711,2025-11-28 09:11:25.629120,2025-11-28 09:11:26.163657,0 days 00:00:00.534537,1.6165396724610248,0.0032220464597641236,2,377,COMPLETE
4,0.8012901384801037,2025-11-28 09:11:26.163693,2025-11-28 09:11:26.825384,0 days 00:00:00.661691,0.9920038158419375,0.040184084424593626,7,333,COMPLETE
5,0.8025147550649457,2025-11-28 09:11:26.825420,2025-11-28 09:11:27.625407,0 days 00:00:00.799987,4.826217079233348,0.013482390557594153,11,346,COMPLETE
6,0.7985159679332563,2025-11-28 09:11:27.625440,2025-11-28 09:11:27.931264,0 days 00:00:00.305824,2.843912369717745,0.07742933782859711,8,138,COMPLETE
7,0.8027117316857737,2025-11-28 09:11:27.931299,2025-11-28 09:11:28.734241,0 days 00:00:00.802942,2.185036122206041,0.006407891729927856,5,332,COMPLETE
8,0.8028627298778259,2025-11-28 09:11:28.734275,2025-11-28 09:11:29.270355,0 days 00:00:00.536080,4.073366060739124,0.05874500086871412,11,367,COMPLETE
9,0.8023744266334226,2025-11-28 09:11:29.270403,2025-11-28 09:11:29.669224,0 days 00:00:00.398821,2.251160174911035,0.03263568948008541,5,176,COMPLETE
10,0.7982062755607414,2025-11-28 09:11:29.669256,2025-11-28 09:11:30.025203,0 days 00:00:00.355947,3.7577845047858167,0.2756163127050382,11,261,COMPLETE
11,0.8026979557692637,2025-11-28 09:11:30.025255,2025-11-28 09:11:30.618021,0 days 00:00:00.592766,0.1092269545654121,0.00368861371954976,4,284,COMPLETE
12,0.8037406126569104,2025-11-28 09:11:30.618054,2025-11-28 09:11:31.375945,0 days 00:00:00.757891,3.7562757344601936,0.006433267071613036,4,400,COMPLETE
13,0.7768119927225807,2025-11-28 09:11:31.375996,2025-11-28 09:11:31.876686,0 days 00:00:00.500690,3.631121656451757,0.0010808120409100913,2,395,COMPLETE
14,0.7974288877451183,2025-11-28 09:11:31.876724,2025-11-28 09:11:32.373275,0 days 00:00:00.496551,3.8888412996047976,0.09685452687227476,9,399,COMPLETE
15,0.8029634374478765,2025-11-28 09:11:32.373324,2025-11-28 09:11:32.984419,0 days 00:00:00.611095,4.219592876683772,0.008820788866053851,4,312,COMPLETE
16,0.8034226889781971,2025-11-28 09:11:32.984454,2025-11-28 09:11:33.576811,0 days 00:00:00.592357,3.2239236270085927,0.008177499314523117,4,296,COMPLETE
17,0.7770863735087901,2025-11-28 09:11:33.576852,2025-11-28 09:11:33.974299,0 days 00:00:00.397447,3.1978549757120103,0.0013739203354373743,3,221,COMPLETE
