number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.8561253620589275,2025-11-15 13:06:49.965755,2025-11-15 13:07:37.543676,0 days 00:00:47.577921,16,19,73,COMPLETE
1,0.8561951365244977,2025-11-15 13:07:37.545081,2025-11-15 13:08:39.559799,0 days 00:01:02.014718,16,5,96,COMPLETE
2,0.7929651720133478,2025-11-15 13:08:39.561446,2025-11-15 13:08:49.278583,0 days 00:00:09.717137,3,13,42,COMPLETE
3,0.8639876440169967,2025-11-15 13:08:49.280155,2025-11-15 13:09:58.568632,0 days 00:01:09.288477,30,5,73,COMPLETE
4,0.8537609609619728,2025-11-15 13:09:58.569950,2025-11-15 13:10:19.881969,0 days 00:00:21.312019,16,14,29,COMPLETE
5,0.8617206193181317,2025-11-15 13:10:19.883469,2025-11-15 13:11:04.568495,0 days 00:00:44.685026,24,16,52,COMPLETE
6,0.8501127002128015,2025-11-15 13:11:04.570256,2025-11-15 13:11:15.443810,0 days 00:00:10.873554,17,2,11,COMPLETE
7,0.8424634458747648,2025-11-15 13:11:15.444999,2025-11-15 13:11:50.629770,0 days 00:00:35.184771,9,10,89,COMPLETE
8,0.8537428031914056,2025-11-15 13:11:50.631080,2025-11-15 13:12:04.571104,0 days 00:00:13.940024,17,10,16,COMPLETE
9,0.8598765061959106,2025-11-15 13:12:04.572629,2025-11-15 13:12:56.231469,0 days 00:00:51.658840,20,14,67,COMPLETE
10,0.8641887512385175,2025-11-15 13:12:56.233076,2025-11-15 13:14:07.364283,0 days 00:01:11.131207,30,6,76,COMPLETE
11,0.8644150198031266,2025-11-15 13:14:07.365943,2025-11-15 13:15:17.143418,0 days 00:01:09.777475,29,6,75,COMPLETE
12,0.8640950104144276,2025-11-15 13:15:17.144769,2025-11-15 13:16:35.473626,0 days 00:01:18.328857,28,7,86,COMPLETE
13,0.862527581902742,2025-11-15 13:16:35.475062,2025-11-15 13:17:26.814790,0 days 00:00:51.339728,25,7,57,COMPLETE
14,0.8636111513687407,2025-11-15 13:17:26.816285,2025-11-15 13:18:40.565253,0 days 00:01:13.748968,25,2,81,COMPLETE
15,0.8631469772877052,2025-11-15 13:18:40.566716,2025-11-15 13:19:35.273469,0 days 00:00:54.706753,30,7,58,COMPLETE
16,0.8628021463132216,2025-11-15 13:19:35.275010,2025-11-15 13:20:57.522394,0 days 00:01:22.247384,22,4,99,COMPLETE
17,0.8459429057146336,2025-11-15 13:20:57.523803,2025-11-15 13:21:19.203922,0 days 00:00:21.680119,11,9,42,COMPLETE
18,0.8639616011212755,2025-11-15 13:21:19.205231,2025-11-15 13:22:21.553233,0 days 00:01:02.348002,27,8,69,COMPLETE
19,0.86101066232453,2025-11-15 13:22:21.554878,2025-11-15 13:23:26.706901,0 days 00:01:05.152023,21,12,83,COMPLETE
