feature,importance
goal,0.6859821
cat_name,0.6786177
staff_pick,0.5302169
age_days,0.39880002
has_video,0.3487459
prelaunch_activated,0.2437694
duration,0.22557893
cat_position,0.21595803
loc_name,0.11100486
name_len,0.10064034
cat_parent_name__None,0.09848106
cat_parent_name__Film & Video,0.07681315
fx_rate,0.07415676
name_avg_word_len,0.06556035
loc_state,0.055140328
cat_parent_name__Technology,0.049404204
blurb_avg_word_len,0.049210027
cat_parent_name__Crafts,0.045626227
blurb_len,0.043071125
cat_parent_name__Food,0.040503908
static_usd_rate,0.037015133
cat_parent_name__Publishing,0.036638897
cat_parent_name__Journalism,0.03435063
currency__EUR,0.033154532
cat_parent_name__Art,0.03306154
cat_parent_name__Fashion,0.03095611
cat_parent_name__Music,0.022004578
cat_parent_name__Games,0.020867648
cat_parent_name__Comics,0.016798658
cat_parent_name__Photography,0.015649522
cat_parent_name__Theater,0.015159561
country__IT,0.014239258
country__HK,0.011295138
country__MX,0.007853729
country__US,0.0075824303
cat_parent_name__Design,0.007462039
cat_parent_name__Dance,0.006140712
country__ES,0.0050472026
country__FR,0.004440952
loc_type__LocalAdmin,0.0025779845
country__CA,0.002347092
loc_type__County,0.0022890046
loc_type__Town,0.0018165451
loc_type__Suburb,0.001247305
country__PL,0.00092393276
country__DE,0.0009131436
currency__SEK,0.0008165826
country__GR,0.0007340669
country__BE,0.0006849029
country__AU,0.000643061
country__NZ,0.0005169244
country__SE,0.0004816296
country__DK,0.0003828021
country__NL,0.00034696027
currency__DKK,0.00034204562
currency__NOK,0.00023810932
loc_type__Island,0.00015414512
country__LU,9.711375e-05
country__CH,9.195e-05
country__SG,8.373304e-05
country__NO,5.607238e-05
currency__CHF,4.539657e-05
currency__PLN,4.1639756e-05
country__IE,3.191889e-05
loc_type__Zip,1.5820866e-05
country__AT,9.133055e-06
currency__MXN,0.0
currency__JPY,0.0
currency__HKD,0.0
currency__GBP,0.0
currency__CAD,0.0
currency__AUD,0.0
country__SI,0.0
country__JP,0.0
country__GB,0.0
loc_type__Miscellaneous,0.0
usd_type__domestic,0.0
loc_type__Estate,0.0
currency__SGD,0.0
currency__USD,0.0
loc_type__Country,0.0
currency__NZD,0.0
