,mean_accuracy,mean_precision,mean_recall,mean_f1
Theater,0.7231814366731432,0.7491725046879385,0.8292975846470853,0.7871204475889167
Technology,0.8574268051851501,0.8765549761683369,0.8614844633972993,0.8689473218262774
Dance,0.7139264178306999,0.744802592108288,0.8020083682008368,0.7720207002708
Film & Video,0.8560082751339664,0.8944755607883697,0.8928424995575076,0.8936254515724029
Music,0.8458465842202332,0.8877315411138378,0.8969106276471452,0.8922886979384318
Comics,0.8705907589933457,0.8977211251252466,0.9506567224634571,0.9234195041671477
Publishing,0.8195183916705041,0.8620739479710828,0.8599513297860846,0.8609917700696427
Food,0.8330520579109522,0.8299015732237207,0.7176313403636017,0.7696630804317106
None,0.9670692264882929,0.9735645466181845,0.9921625626994984,0.9827744884828263
Journalism,0.8153645833333334,0.7003706852604056,0.5149651741293532,0.5931408541641412
Games,0.8723859667973997,0.8980688377497958,0.9219405467225226,0.9098329395278875
Fashion,0.8159845931632163,0.8537203105941966,0.797801229650047,0.8247855698309646
Art,0.8230121953847881,0.8675573877288377,0.8866032843560934,0.876974685050748
Design,0.7983106989324326,0.830214879936476,0.8532400511370968,0.8414361017838111
Photography,0.7965273411985005,0.8107094599744444,0.7664261816718234,0.7877826339751673
Crafts,0.7838472834067547,0.6999006382124818,0.5801865594722738,0.634316442367761
